,Zip Code,Year,Median Income (dollars)
663,75181,2012,80350.70833333333
664,75181,2013,75747.16666666667
665,75181,2014,73233.33333333333
666,75181,2015,72795.33333333333
667,75181,2016,73665.375
668,75182,2011,120795.0
669,75182,2012,110411.25
670,75182,2013,95526.375
671,75182,2014,95584.41666666667
672,75182,2015,113493.45833333333
673,75182,2016,125636.29166666667
674,75189,2011,74053.0
675,75189,2012,72718.875
676,75189,2013,72432.83333333333
677,75189,2014,72514.95833333333
678,75189,2015,73978.66666666667
679,75189,2016,75076.41666666667
680,75201,2011,61902.0
681,75201,2012,63320.083333333336
682,75201,2013,66393.625
683,75201,2014,72544.70833333333
684,75201,2015,79099.0
685,75201,2016,83239.875
686,75202,2011,76488.0
687,75202,2012,75302.29166666667
688,75202,2013,77214.25
689,75202,2014,79494.125
690,75202,2015,80452.375
691,75202,2016,83396.83333333333
692,75203,2011,30006.0
693,75203,2012,29259.041666666668
694,75203,2013,28613.458333333332
695,75203,2014,28841.958333333332
696,75203,2015,29732.375
697,75203,2016,30357.333333333332
698,75204,2011,56310.0
699,75204,2012,57481.625
700,75204,2013,61223.583333333336
701,75204,2014,65227.458333333336
702,75204,2015,67521.875
703,75204,2016,67887.08333333333
704,75205,2011,119517.0
705,75205,2012,117088.70833333333
706,75205,2013,111718.45833333333
707,75205,2014,112736.625
708,75205,2015,118708.5
709,75205,2016,123323.375
710,75206,2011,50894.0
711,75206,2012,51137.208333333336
712,75206,2013,51802.875
713,75206,2014,52569.541666666664
714,75206,2015,54612.583333333336
715,75206,2016,57626.666666666664
716,75207,2011,80250.0
717,75207,2012,75239.58333333333
718,75207,2013,73054.0
719,75207,2014,77105.45833333333
720,75207,2015,80478.91666666667
721,75207,2016,81099.04166666667
722,75208,2011,40908.0
723,75208,2012,41818.541666666664
724,75208,2013,43987.041666666664
725,75208,2014,45915.875
726,75208,2015,46677.541666666664
727,75208,2016,49151.833333333336
728,75209,2011,77522.0
729,75209,2012,76250.16666666667
730,75209,2013,77467.41666666667
731,75209,2014,80698.79166666667
732,75209,2015,80234.25
733,75209,2016,82602.5
734,75210,2011,15218.0
735,75210,2012,14013.333333333334
736,75210,2013,14220.333333333334
737,75210,2014,16523.333333333332
738,75210,2015,18833.333333333332
739,75210,2016,20766.541666666664
740,75211,2011,35928.0
741,75211,2012,35942.625
742,75211,2013,36360.70833333333
743,75211,2014,36814.5
744,75211,2015,36896.08333333333
745,75211,2016,37249.45833333333
746,75212,2011,26245.0
747,75212,2012,26903.125
748,75212,2013,28186.916666666668
749,75212,2014,28680.125
750,75212,2015,29271.958333333332
751,75212,2016,30253.791666666668
752,75214,2011,63783.0
753,75214,2012,64811.083333333336
754,75214,2013,67569.79166666667
755,75214,2014,70561.16666666667
756,75214,2015,74023.125
757,75214,2016,79703.875
758,75215,2011,20892.0
759,75215,2012,21631.375
760,75215,2013,22894.0
761,75215,2014,23735.25
762,75215,2015,24793.75
763,75215,2016,25929.625
764,75216,2011,23406.0
765,75216,2012,23508.375
766,75216,2013,23431.958333333332
767,75216,2014,23454.875
768,75216,2015,23501.625
769,75216,2016,23997.458333333332
770,75217,2011,34984.0
771,75217,2012,35091.25
772,75217,2013,34801.75
